Player,Position,Team,Opp,DPA Avg,FPTS Avg,PASS_TD Avg,PASS_YDS Avg,PASS_ATT Avg,PASS_CMP Avg,INT Avg,RUSH_TD Avg,RUSH_YDS Avg,RUSH_ATT Avg,REC_TD Avg,REC_YDS Avg,REC Avg,ANYTIME_TD Avg,SACK Avg,DraftKings,FanDuel,PrizePicks,Underdog,Fav,Spread,O/U,Match Title (Underdog),Game Short Title (Underdog),Venue Name (Underdog),Venue Type (Underdog),Broadcasts (Underdog),Player Salary,Player Image,Tournament,Game Start Time
Michael Barrow,RB,NAVY,FLAATL,,4.86,,,,,,0.15,17.4,3.4,0.05,7.7,1.13,0.2,,4.84,4.275,4.84,4.84,,,,,,,,,,,,
Mason King,RB,KENT,SCAR,,4.85,,,,,,0.15,29.56,9.5,0.01,4.01,0.53,0.5,,4.847,4.582,4.847,4.847,,,,,,,,,,,,
Daniel Bray,RB,UTAH,IDAHO,,4.85,,,,,,0.16,22.32,2.5,0.05,8.13,0.64,0.77,,4.945,4.625,4.945,4.945,,,,,,,,,,,,
Maurice Turner,RB,TULN,DUKE,,4.83,,,,,,0.23,16.55,4.5,0.03,10.04,0.92,0.58,,5.139,4.679,5.139,5.139,,,,,,,,,,,,
Sawyer Seidl,RB,WAKE,AKR,,4.8,,,,,,0.13,28.99,5,0.03,7,0.7,0.18,,5.259,4.909,5.259,5.259,,,,,,,,,,,,
Joey Mattord,RB,EMICH,SACST,0,4.79,,,,,,0.12,23.58,3,0.02,9.32,0.59,0.29,,4.72,4.425,4.72,4.72,,,,,,,,,,,,
Joseph Himon II,RB,NORTHWESTERN,SDAKST,,4.78,,,,,,0.12,19.9,3.5,0.02,9.8,1.08,0.22,,4.89,4.35,4.89,4.89,,,,,,,,,,,,
Jaylen Jenkins,RB,TXST,TEX,,4.78,,,,,,0.21,24.5,4,0.02,5.06,0.64,0.5,,4.976,4.656,4.976,4.976,,,,,,,,,,,,
Maxwell Woods,RB,WASHST,UW,,4.75,,,,,,0.17,22.7,5,0.03,6.99,0.55,0.5,,4.719,4.444,4.719,4.719,,,,,,,,,,,,
Hunter Smith,RB,TEMPLE,URI,,4.74,,,,,,0.22,27.4,3.5,0.03,3.22,0.24,0.33,,4.802,4.682,4.802,4.802,,,,,,,,,,,,
Bryson Kuzdzal,RB,MICH,WESTMI,,4.72,,,,,,0.37,20.49,2,0.01,2.29,0.17,0.5,,4.728,4.643,4.728,4.728,,,,,,,,,,,,
Clay Thevenin,RB,RUTG,MASS,,4.69,,,,,,0.14,24.91,5.5,0.03,7.02,0.47,0.5,,4.683,4.448,4.683,4.683,,,,,,,,,,,,
Daune Morris,RB,TENNESSEE,FURMAN,,4.69,,,,,,0.31,21.87,6.5,0.02,2.97,0.31,0.56,,4.774,4.619,4.774,4.774,,,,,,,,,,,,
Jawarn Howell,RB,SCAR,KENT,,4.67,,,,,,0.16,20.59,6,0.03,8.43,1.04,0.5,,5.082,4.562,5.082,5.082,,,,,,,,,,,,
Xavier Williams,RB,IOWA,NIU,,4.63,,,,,,0.28,22.06,4.5,0.01,2.65,0.39,0.62,,4.601,4.406,4.601,4.601,,,,,,,,,,,,
Ezell Jolly,RB,ARKANSASSTATE,WESTGA,,4.55,,,,,,0.15,18.76,4.3,0.03,4.81,1.13,0.22,,4.567,4.002,4.567,4.567,,,,,,,,,,,,
