Player,Position,Team,Opp,DPA Avg,FPTS Avg,PASS_TD Avg,PASS_YDS Avg,PASS_ATT Avg,PASS_CMP Avg,INT Avg,RUSH_TD Avg,RUSH_YDS Avg,RUSH_ATT Avg,REC_TD Avg,REC_YDS Avg,REC Avg,ANYTIME_TD Avg,SACK Avg,DraftKings,FanDuel,PrizePicks,Underdog,Fav,Spread,O/U,Match Title (Underdog),Game Short Title (Underdog),Venue Name (Underdog),Venue Type (Underdog),Broadcasts (Underdog),Player Salary,Player Image,Tournament,Game Start Time
Marcus Stokes,QB,MEMP,UNLV,0,31.55,2.17,298.85,28.52,17.67,1.17,0.75,60.86,12.73,,,,0.26,0,30.05,30.05,30.05,30.05,,,,,,,,,,,,
D'Wanye' Winfield,QB,UL,UL@USC,,30.55,1.28,230,,,0.66,1.38,66,,,,,0.63,,28.54,28.54,28.54,28.54,,,,,,,,,,,,
Demond Williams Jr.,QB,WASH,WASHST,,29.69,1.97,270.91,24.5,17.5,0.69,0.7,65.18,13.09,,,,0,,28.7444,28.7444,28.7444,28.7444,,,,,,,,,,,,
Brad Jackson,QB,TXST,TEX,,29.55,1.4,245.08,,,0.63,1.31,57.01,13.14,,,,0.5,,28.3342,28.3342,28.3342,28.3342,,,,,,,,,,,,
Caden Creel,QB,JAXST,NDST,0,28.39,1.41,207.51,,,0.49,0.75,96.27,18.38,,,,0.5,0,27.5774,27.5774,27.5774,27.5774,,,,,,,,,,,,
Arch Manning,QB,TEX,TXST,,28.32,2.36,279.51,27.78,21.02,0.71,0.77,19.72,7.09,,1,,0,,26.6024,26.6024,26.6024,26.6024,,,,,,,,,,,,
Carlos Del Rio-Wilson,QB,MRSH,PSU,,26.77,1.91,231.7,30.5,17.5,0.56,0.6,61.17,13.89,,,,0.38,,26.065,26.065,26.065,26.065,,,,,,,,,,,,
Cale Hellums,QB,ARMY,BRYANT,,26.77,0.43,68.66,,,0.23,1.73,116.4,24.91,,3,,1.55,,26.5564,26.5564,26.5564,26.5564,,,,,,,,,,,,
Devon Dampier,QB,UTAH,IDAHO,,26.43,1.89,241.05,24.5,15.27,0.47,0.6,49.88,12.13,,,,1.02,,25.32,25.32,25.32,25.32,,,,,,,,,,,,
Drew Mestemaker,QB,OKST,TLSA,,26.37,2.48,314.4,34.5,23.5,0.92,0.43,8.73,4.97,,,,0,,25.029,25.029,25.029,25.029,,,,,,,,,,,,
Kamario Taylor,QB,MSST,ULMON,,25.8,1.58,240.7,29.08,18.34,0.78,0.76,56.23,16.76,,,,0,,25.351,25.351,25.351,25.351,,,,,,,,,,,,
LaNorris Sellers,QB,SCAR,KENT,,25.73,1.78,253.77,,,0.76,0.58,39.74,8.47,,5,,0,,24.4648,24.4648,24.4648,24.4648,,,,,,,,,,,,
Dante Moore,QB,ORE,BOISE,,25.57,2.69,300.91,26.5,18.67,0.53,0.13,17.55,5.75,,,,0,,24.8014,24.8014,24.8014,24.8014,,,,,,,,,,,,
Lunch Winfield,QB,LOUISIANALAFAYETTE,LAMAR,,25.54,1.36,199.2,,,0.73,0.87,66.91,13.72,,,,0.85,,24.589,24.589,24.589,24.589,,,,,,,,,,,,
Conner Weigman,QB,HOU,TB,,25.48,1.357142857,215.6666667,25.75,18.25,0.87,0.76,37.85666667,12.41,,,,0,,21.53090476,21.53090476,21.53090476,21.53090476,,,,,,,,,,,,
Nick Minicucci,QB,DELAWARE,MERRIM,,25.41,1.67,271.65,,,0.6,0.81,18.45,8.59,,,,0.91,,23.651,23.651,23.651,23.651,,,,,,,,,,,,
Caden Veltkamp,QB,FAU,FLA,,24.43,2.17,314.46,,,1.32,0.36,3.12,6.72,,1,,0.5,,22.5104,22.5104,22.5104,22.5104,,,,,,,,,,,,
Avery Johnson,QB,KANSASSTATE,NICH,,24.38,1.48,204.5,24.04,15.77,0.6,0.76,39.97,8.24,,,,0.67,,22.057,22.057,22.057,22.057,,,,,,,,,,,,
Anthony Colandrea,QB,NEB,OHIO,,24.36,1.97,237.4,25.5,17.5,0.64,0.53,35.95,9.23,,,,0,,23.511,23.511,23.511,23.511,,,,,,,,,,,,
Camden Coleman,QB,JMU,LIB,,24.31,0.81,103.65,,,0.29,0.5,0.22,0.07,0.79,62.49,3.47,0.5,,24.577,22.842,24.577,24.577,,,,,,,,,,,,
Byrum Brown,QB,AUB,BAY,,24.26,1.25,215.75,32.5,21.25,0.88,0.64,45.5,10.02,,,,0,,21.14,21.14,21.14,21.14,,,,,,,,,,,,
Jayden Maiava,QB,USC,SJST,,24.16,2.13,289.37,26.7,19.59,0.59,0.48,11.38,4.28,,,,0.6,,23.5228,23.5228,23.5228,23.5228,,,,,,,,,,,,
Roman Gagliano,QB,MIDDLETENNST,MUR,,23.87,1.56,244.56,,,0.93,0.55,44.46,11.46,,,,0.44,,22.8384,22.8384,22.8384,22.8384,,,,,,,,,,,,
Colton Joseph,QB,WIS,ND,,23.74,1.45,199.24,24.5,,0.94,0.69,56.31,11.71,,1,,0.37,,22.7006,22.7006,22.7006,22.7006,,,,,,,,,,,,
Jackson Arnold,QB,UNLV,MEMP,0,23.68,1.67,240.75,20.63,,0.34,0.63,34.22,8.13,,,,1,0,23.172,23.172,23.172,23.172,,,,,,,,,,,,
DJ Lagway,QB,BAY,AUB,,23.62,2.37,278.98,35.5,20.5,1.08,0.27,16.31,5.55,,,,0,,22.8102,22.8102,22.8102,22.8102,,,,,,,,,,,,
Broc Lowry,QB,WMU,MICH,,23.61,0.84,154.05,22.5,,0.16,1.02,74.01,15.46,,,,0.31,,22.883,22.883,22.883,22.883,,,,,,,,,,,,
Marcel Reed,QB,TXAM,MOSTU,,23.53,1.7,230.5,24.33,18.38,0.85,0.47,30.9,7.69,,,,0,,21.08,21.08,21.08,21.08,,,,,,,,,,,,
Kevin Jennings,QB,SMU,FSU,,23.4,1.82,282.5,32.5,20.5,0.94,0.25,14.5,5.63,,,,0.5,,20.59,20.59,20.59,20.59,,,,,,,,,,,,
Gunner Stockton,QB,UGA,TENNST,,23.07,2.2,243,,,0.49,0.4,26.06,8.09,,,,0.43,,23.036,23.036,23.036,23.036,,,,,,,,,,,,
Bishop Davenport,QB,SOUTHALABAMA,SELA,,22.88,1.33,213.84,,,0.51,0.88,27.65,9.73,,,,0.79,,21.4086,21.4086,21.4086,21.4086,,,,,,,,,,,,
Josh Hoover,QB,IND,DEN,,23.6968,2.97,254.97,25.5,18.5,0.58,0.27,5.78,5.16,,,,0,,23.6968,23.6968,23.6968,23.6968,,,,,,,,,,,,
JC French IV,QB,CIN,JAC,,22.78,1.53,210.62,27.5,17.5,0.57,0.73,32.03,7.49,,,,0,,21.5578,21.5578,21.5578,21.5578,,,,,,,,,,,,
Faizon Brandon,QB,TENNESSEE,FURMAN,,22.66,1.61,239.46,28.5,17.5,0.61,0.41,20.57,6.27,,,,0.48,,19.9254,19.9254,19.9254,19.9254,,,,,,,,,,,,
Trinidad Chambliss,QB,MISS,LOU,,22.55,1.476666667,277.3514286,33.5,21.5,0.995,0.47,30.50230769,7.74,,1,,0,,21.97595458,21.97595458,21.97595458,21.97595458,,,,,,,,,,,,
Rocco Becht,QB,PSU,MARSH,,22.5,1.75,233.64,23.5,15.5,0.61,0.64,9.43,6.83,,,,0,,20.5186,20.5186,20.5186,20.5186,,,,,,,,,,,,
Julian Sayin,QB,OSU,BALLST,,24.439,2.97,301.5,31.79,22.72,0.61,0.15,2.09,2.71,,,,0,,24.439,24.439,24.439,24.439,,,,,,,,,,,,
Liam Szarka,QB,AIRFORCE,DUQ,,22.34,0.69,99.75,,,0.4,1.25,79.05,17.12,,,,1.52,,21.755,21.755,21.755,21.755,,,,,,,,,,,,
Sam Leavitt,QB,LSU,CLEM,,23.14326786,1.575,270.9285714,32.61333333,22.21,0.595,0.41,41.41125,11.33,,,,0,,23.14326786,23.14326786,23.14326786,23.14326786,,,,,,,,,,,,
Noah Fifita,QB,ARIZONA,NOARI,,22.22,1.84,250.41,31.5,17.99,0.63,0.3,17.1,8.21,,,,0.28,,20.2564,20.2564,20.2564,20.2564,,,,,,,,,,,,
Katin Houser,QB,ILL,UAB,,22.06,1.93,237.09,28.64,20.43,0.44,0.43,20.38,6.78,,,,0.19,,21.3816,21.3816,21.3816,21.3816,,,,,,,,,,,,
Kalieb Osborne,QB,UCONN,LAF,,21.98,1.57,209.93,29.95,17.46,0.79,0.55,37.09,9.38,,,,0.04,,20.8962,20.8962,20.8962,20.8962,,,,,,,,,,,,
Bear Bachmeier,QB,BYU,UTAHTE,,21.83,1.25,230.85,,,0.33,0.57,31.91,8.36,,,,0.75,,20.515,20.515,20.515,20.515,,,,,,,,,,,,
Hauss Hejny,QB,CSU,WYO,,21.8,1.83,236.41,,,0.83,0.38,41.83,9.68,,,,0.5,,22.4094,22.4094,22.4094,22.4094,,,,,,,,,,,,
Jaron-Keawe Sagapolutele,QB,CAL,UCLA,,21.8,1.94,292.05,34.5,23.33,0.73,0.31,2.27,5.33,,,,0,,20.799,20.799,20.799,20.799,,,,,,,,,,,,
Malik Washington,QB,MARYLAND,HAMP,,21.79,1.21,236.54,39.51,25.93,0.65,0.44,42.38,8.3,,,,0.45,,20.5296,20.5296,20.5296,20.5296,,,,,,,,,,,,
Aidan Chiles,QB,NORTHWESTERN,SDAKST,,21.77,1.34,236.2,,,0.39,0.59,32.76,8.11,,,,0.55,,21.234,21.234,21.234,21.234,,,,,,,,,,,,
Will Hammond,QB,TEXASTECH,ABICHR,,21.6,1.50375,225.3333333,30.24,20.16,0.62,0.45,12.9625,6.09,,,,0.41,,18.40458333,18.40458333,18.40458333,18.40458333,,,,,,,,,,,,
Maddux Madsen,QB,BSU,ORE,,21.57,2.05,246.99,28.31,15.37,0.84,0.36,10.66,5.58,,,,0.5,,20.4656,20.4656,20.4656,20.4656,,,,,,,,,,,,
Darian Mensah,QB,MIA,STNFRD,,21.53,2.212,288.5333333,28.5,19.27,0.3,0.11,6.3175,4.04,,,,0.5,,21.38108333,21.38108333,21.38108333,21.38108333,,,,,,,,,,,,
CJ Carr,QB,ND,WISC,,21.42,2.08,249.5,25.67,18.28,0.51,0.36,1.53,3.81,,,,0.5,,20.103,20.103,20.103,20.103,,,,,,,,,,,,
Braden Atkinson,QB,ORST,HOU,,21.25,1.97,319.27,29.5,16.5,1.16,0.07,0.01,2.8,,,,0,,19.9118,19.9118,19.9118,19.9118,,,,,,,,,,,,
Jaylen Raynor,QB,IOWASTATE,SEMO,,21.16,1.04,201.94,25.5,15.5,0.69,0.61,34.66,7.3,,,,0.44,,18.6736,18.6736,18.6736,18.6736,,,,,,,,,,,,
Malachi Singleton,QB,APPALACHIANSTATE,MAINE,,21.1,1.65,236.1,,,0.88,0.4,26.38,9.7,,,,0.32,,20.202,20.202,20.202,20.202,,,,,,,,,,,,
Max Johnson,QB,GEORGIASOUTHERN,CHSOU,,21.05,1.8,260.69,36.67,20,0.88,0.28,23.1,8.37,,,,0.28,,20.7376,20.7376,20.7376,20.7376,,,,,,,,,,,,
Austin Simmons,QB,MIZZ,ARKPB,,20.92,1.79,226.55,27.02,16.27,0.86,0.39,24.48,7.87,,,,0.5,,20.15,20.15,20.15,20.15,,,,,,,,,,,,
Bryce Underwood,QB,MICH,WESTMI,,20.83,1,202.68,22.5,15.25,0.43,0.52,32.05,9.13,,,,0,,18.0022,18.0022,18.0022,18.0022,,,,,,,,,,,,
Mason Heintschel,QB,PITT,MIAOH,,21.55661558,1.82625,272.6085714,32.25,22.5,0.81,0.28,24.77272727,9.59,,,,0,,21.55661558,21.55661558,21.55661558,21.55661558,,,,,,,,,,,,
Keelon Russell,QB,ALA,ECU,,21.57399405,1.688333333,256.7571429,27.5,19.25,0.625,0.3,33.75375,6.54,,,,0,,21.57399405,21.57399405,21.57399405,21.57399405,,,,,,,,,,,,
Jaden Craig,QB,TCU,UNC,,20.72,1.99,252.13,,,0.93,0.22,10.19,4.34,,,,0.24,,19.4542,19.4542,19.4542,19.4542,,,,,,,,,,,,
John Mateer,QB,OKLA,UTEP,,20.7,1.24,215.93,30.5,19.06,0.7,0.45,36.13,9.68,,,,0,,19.2102,19.2102,19.2102,19.2102,,,,,,,,,,,,
Nathan Hayes,QB,NDST,JAXST,0,20.54,1.78,231.14,,,0.69,0.36,16.02,8.87,,,,0.15,0,19.4376,19.4376,19.4376,19.4376,,,,,,,,,,,,
Micah Alejado,QB,HAWAII,STNFRD,0,20.51,2.26,269.62,37.53,24.5,0.9,0.21,7.68,7.75,,,,0.19,0,20.9528,20.9528,20.9528,20.9528,,,,,,,,,,,,
David McComb,QB,MIAOH,PITT,,20.45,1.47,228.04,27.5,14.5,0.84,0.42,27.26,8.54,,,,0,,19.4076,19.4076,19.4076,19.4076,,,,,,,,,,,,
Keldric Luster,QB,BALLSTATE,OSU,,20.36,1.39,167.54,,,0.81,0.48,50.26,16.77,,,,0.05,,19.3576,19.3576,19.3576,19.3576,,,,,,,,,,,,
Nick Poulos,QB,OHIO,NEB,,20.32,1.32,192.65,24.5,,0.88,0.56,42.94,13.43,,,,0.5,,19.76,19.76,19.76,19.76,,,,,,,,,,,,
Cutter Boley,QB,ARIZONASTATE,MORGST,,20.08,1.645,224.7,,,0.62,0.25,16.92333333,7.72,,,,0.34,,18.14033333,18.14033333,18.14033333,18.14033333,,,,,,,,,,,,
Deuce Bailey,QB,CCAR,WVU,,19.93,1.83,247.83,,,0.85,0.19,20.43,5.13,,,,0.5,,19.5662,19.5662,19.5662,19.5662,,,,,,,,,,,,
Mason McKenzie,QB,BC,CIN,,19.91,1.48,232.81,28.25,15.5,1.11,0.36,22.84,7.61,,,,0,,18.5664,18.5664,18.5664,18.5664,,,,,,,,,,,,
Nico Iamaleava,QB,UCLA,CAL,,19.9,1.02,210.03,28.67,18.5,0.58,0.4,33.82,9.37,,,,0,,17.6832,17.6832,17.6832,17.6832,,,,,,,,,,,,
Alonza Barnett III,QB,CENTRALFLORIDA,BC,,19.84,1.04,216.66,,,0.78,0.61,31.24,7.81,,,,0.67,,18.8304,18.8304,18.8304,18.8304,,,,,,,,,,,,
Tayven Jackson,QB,UNT,IND,,19.69,1.35,236.68,,,0.69,0.29,19.69,7.3,,,,0,,17.8862,17.8862,17.8862,17.8862,,,,,,,,,,,,
Aaron Philo,QB,FLA,FLAATL,,19.65,1.4775,230.25,26.5,18.5,0.76,0.31,12.3175,3.97,,,,0,,17.45175,17.45175,17.45175,17.45175,,,,,,,,,,,,
JJ Kohl,QB,FIU,USF,,19.63,1.97,270.24,,,0.77,0.16,8.11,5.1,,,,0.14,,19.6906,19.6906,19.6906,19.6906,,,,,,,,,,,,
Isaiah Marshall,QB,KANSAS,LIU,,19.56,0.855,174.5,26.5,14.41,1.03,0.31,42.5,7.26,,,,0.03,,15.48,15.48,15.48,15.48,,,,,,,,,,,,
Dylan Lonergan,QB,RUTG,MASS,,19.34,1.83,271.12,25.49,16.62,0.72,0,0,8.77,,,,0.5,,17.4448,17.4448,17.4448,17.4448,,,,,,,,,,,,
Drake Lindsey,QB,MINNESOTA,EASTIL,,19.23,1.51,233.46,31.5,20.5,0.49,0,0,2.64,,,,0.17,,14.8884,14.8884,14.8884,14.8884,,,,,,,,,,,,
Alberto Mendoza,QB,GT,CU,,19.14,1.31,227.22,26.33,16.67,0.79,0.39,23.27,6.13,,,,0.31,,18.2058,18.2058,18.2058,18.2058,,,,,,,,,,,,
Blaze Berlowitz,QB,VANDERBILT,APSU,,19.1,1.06,232.64,,,0.57,0.24,20.64,4.62,,,,0.02,,16.4796,16.4796,16.4796,16.4796,,,,,,,,,,,,
Quinn Henicle,QB,OLDDOMINION,NOR,,18.98,1.06,159.54,,,0.58,0.52,49.74,10.59,,,,0.89,,18.1356,18.1356,18.1356,18.1356,,,,,,,,,,,,
Luke Weaver,QB,SJST,USC,,18.97,1.78,249.62,35.53,18.52,0.96,0.17,17.89,3.34,,,,0.17,,18.9538,18.9538,18.9538,18.9538,,,,,,,,,,,,
Cameran Brown,QB,GEORGIASTATE,NCAT,,19.9668,1.67,226.32,,,0.46,0.35,25.94,5.2,,,,0.4,,19.9668,19.9668,19.9668,19.9668,,,,,,,,,,,,
Braxton Woodson,QB,NAVY,TOWSON,,18.88,0.59,69.41,,,0.33,0.94,79.16,13.2,,4,,1.28,,18.7624,18.7624,18.7624,18.7624,,,,,,,,,,,,
Baylor Hayes,QB,TLSA,OKST,,18.8,1.35,214.63,31.5,17.5,0.47,0.35,24.34,9.23,,,,0,,18.0492,18.0492,18.0492,18.0492,,,,,,,,,,,,
CJ Bailey,QB,NCST,UVA,,18.59,1.25,216.5,29.86,19.53,0.76,0.34,14.825,6.02,,,,0.25,,16.4225,16.4225,16.4225,16.4225,,,,,,,,,,,,
Lincoln Kienholz,QB,LOU,MISS,,20.43,1.58,240.5,29.5,17.5,0.46,0.35,28.5,6.04,,,,0,,20.43,20.43,20.43,20.43,,,,,,,,,,,,
John Alan Richter,QB,TOL,MSU,,18.51,1.58,214.52,29.91,16.76,0.59,0.25,22.73,4.56,,,,0.5,,18.0838,18.0838,18.0838,18.0838,,,,,,,,,,,,
Mitch Griffis,QB,ECU,ALA,,18.4,1.73,231.77,,,0.72,0.19,11.44,4.08,,2,,0.5,,17.9548,17.9548,17.9548,17.9548,,,,,,,,,,,,
Beau Pribula,QB,UVA,NCST,,18.29,1.18,203.85,27.78,19.17,0.64,0.38,17.43,4.45,,,,0.33,,16.257,16.257,16.257,16.257,,,,,,,,,,,,
Michael Hawkins Jr.,QB,WVU,COASTC,,18.07,0.93,183.61,24.5,16.5,0.45,0.4,38.28,12.88,,,,0,,16.8424,16.8424,16.8424,16.8424,,,,,,,,,,,,
Noah Kim,QB,EMICH,SACST,0,17.95,1.54,228.42,32.5,16.5,0.92,0.43,13.51,7.45,,,,0.39,0,18.3078,18.3078,18.3078,18.3078,,,,,,,,,,,,
Trey Owens,QB,ARST,MEMP,,17.93,1.26,223.36,,,0.88,0.3,19.52,7.68,,,,0.5,,16.8464,16.8464,16.8464,16.8464,,,,,,,,,,,,
Landyn Locke,QB,SHSU,TROY,,17.89,1.66,267.04,,,0.92,0,0,6.29,,,,0.24,,16.4016,16.4016,16.4016,16.4016,,,,,,,,,,,,
Austin Carlisle,QB,LOUISIANAMONROE,SELA,,17.82,1.02,119.14,,,0.78,0.55,54.93,9.41,,,,0.55,,16.8586,16.8586,16.8586,16.8586,,,,,,,,,,,,
Kenny Minchey,QB,KENTUCKY,YSU,,17.59,0.58,190.5,27.5,17.3,0.65,0.13,37.86,6.05,,,,0.29,,13.856,13.856,13.856,13.856,,,,,,,,,,,,
Cole Gonzales,QB,UNCCHARLOTTE,CIT,,17.57,1.29,212.8,,,1.1,0.43,10.3,7.9,,,,0.07,,16.182,16.182,16.182,16.182,,,,,,,,,,,,
Reese Poffenbarger,QB,AKR,WAKE,,17.56,1.62,213.31,,,0.77,0.18,12.17,8.09,,,,0.5,,16.5394,16.5394,16.5394,16.5394,,,,,,,,,,,,
Rickie Collins,QB,KENNESAWSTATE,WESTGA,,17.41,1.38,216.2,,,0.73,0.42,21.1,7.39,,,,0.41,,18.068,18.068,18.068,18.068,,,,,,,,,,,,
KJ Jackson,QB,ARKANSAS,NORTAL,,17.37,1.09,220.64,30.91,18.5,0.75,0.24,32.35,11.97,,,,0.42,,17.1106,17.1106,17.1106,17.1106,,,,,,,,,,,,
Angel H Flores,QB,CENTRALMICHIGAN,NM,,17.36,0.85,142.43,,,0.49,0.57,48.74,7.99,,,,0.5,,16.9012,16.9012,16.9012,16.9012,,,,,,,,,,,,
Ashton Daniels,QB,FSU,NMEXST,0,17.35,0.5257142857,149.0328571,24.74,16.63,1.045,0.25,32.39888889,5.99,,,,0.59,0,11.75906032,11.75906032,11.75906032,11.75906032,,,,,,,,,,,,
Caden Pinnick,QB,WASHST,UW,,16.98,1.08,169.31,28.4,16.76,0.76,0.36,35.39,8.09,,,,0.19,,16.0314,16.0314,16.0314,16.0314,,,,,,,,,,,,
Trey Hedden,QB,NMEXST,FSU,0,16.9,1.57,246.22,33.56,16.5,1.09,0.15,14,5.73,,,,0.12,0,17.3388,17.3388,17.3388,17.3388,,,,,,,,,,,,
Deshawn Purdie,QB,LIB,JMU,,16.79,1.41,217.74,,,0.78,0.35,15.42,6.8,,,,0.5,,17.2116,17.2116,17.2116,17.2116,,,,,,,,,,,,
Ryder Burton,QB,UAB,ILL,,16.73,1.52,218.73,31.5,17,0.84,0.27,8.11,7.27,,,,0.5,,16.4202,16.4202,16.4202,16.4202,,,,,,,,,,,,
Walker Eget,QB,DUKE,TULN,,16.71,1.15,220.03,29.5,19.5,0.64,0.12,11.64,4.31,,,,0.18,,14.6452,14.6452,14.6452,14.6452,,,,,,,,,,,,
Gio Lopez,QB,WAKE,AKR,,16.67,1.0425,210.7,26.45,18.52,0.88,0.28,16.7,7.67,,,,0.28,,15.068,15.068,15.068,15.068,,,,,,,,,,,,
Elijah Holmes,QB,BUFFALO,ALBANY,,16.54,1.38,205.38,,,1,0.21,13.93,9.29,,,,0.03,,15.3882,15.3882,15.3882,15.3882,,,,,,,,,,,,
Skyler Locklear,QB,MOSU,TEXAM,,16.48,1.23,183.99,,,0.82,0.39,16.56,4.84,,,,0.46,,15.4556,15.4556,15.4556,15.4556,,,,,,,,,,,,
Ryan Browne,QB,PURDUE,INST,,16.47,1.09,215.59,31.5,19.05,0.92,0.35,13.97,5.88,,,,0.4,,15.5606,15.5606,15.5606,15.5606,,,,,,,,,,,,
Christopher Vizzina,QB,CLEM,LSU,,16.43,1.6,228.36,33.5,18.5,0.61,0.19,4.52,5.56,,,,0.5,,16.5164,16.5164,16.5164,16.5164,,,,,,,,,,,,
William Watson III,QB,MASS,RUT,,16.25,1.36,175.82,,,0.69,0.32,16.78,5.17,,,,0.34,,15.3808,15.3808,15.3808,15.3808,,,,,,,,,,,,
Blake Baker,QB,LOUISIANATECH,NWST,,16.2,0.93,177.3,,,0.54,0.41,29.09,6.93,,,,0.36,,15.641,15.641,15.641,15.641,,,,,,,,,,,,
Owen McCown,QB,UTSA,UTRGV,,18.973,2.19,238.85,,,0.65,0.1,7.09,4.79,,,,0.18,,18.973,18.973,18.973,18.973,,,,,,,,,,,,
McCae Hillstead,QB,UTAHSTATE,IDAST,,15.91,1.38,217.27,,,1.27,0.22,13.84,4.92,,,,0.24,,15.6448,15.6448,15.6448,15.6448,,,,,,,,,,,,
Ethan Hampton,QB,SOUTHERNMISS,ALC,,15.75,1.31,221.47,,,0.87,0.13,4.86,4.25,,,,0.17,,14.4948,14.4948,14.4948,14.4948,,,,,,,,,,,,
Tyler Hughes,QB,WYO,CSU,,15.54,1.15,165.58,,,0.61,0.33,29.51,7.92,,,,0.5,,15.5442,15.5442,15.5442,15.5442,,,,,,,,,,,,
Ethan Grunkemeyer,QB,VIRGINIATECH,VMI,,15.46,1.62,252.5,25.28,16.98,0.88,0,0,5,,,,0.38,,15.7,15.7,15.7,15.7,,,,,,,,,,,,
Goose Crowder,QB,TROY,SAMHOU,,17.0386,1.72,210.04,,,0.75,0.2,13.07,5.65,,,,0.5,,17.0386,17.0386,17.0386,17.0386,,,,,,,,,,,,
Billy Edwards Jr.,QB,UNC,TCU,,15.2,1.252,207.5633333,,,0.9,0.18,9.5,5.84,,,,0.11,,14.44053333,14.44053333,14.44053333,14.44053333,,,,,,,,,,,,
Carson Conklin,QB,SACST,MSVL,,14.9,1.55,233.72,,,1,0,0,5.44,,,,,,14.5488,14.5488,14.5488,14.5488,,,,,,,,,,,,
Michael Van Buren Jr.,QB,USF,FIU,,14.76,1.27,176.86,,,0.6,0.17,13.79,4.44,,2,,0.26,,14.1534,14.1534,14.1534,14.1534,,,,,,,,,,,,
Julian Lewis,QB,COLO,GT,,14.41,1.38,211.95,29.5,18.5,0.37,0.21,2.17,5.72,,,,0.5,,15.105,15.105,15.105,15.105,,,,,,,,,,,,
Alessio Milivojevic,QB,MSU,TOL,,14.39,0.44,149.5,29.5,18.5,0.89,0.15,11.5,3.81,,,,0,,8.9,8.9,8.9,8.9,,,,,,,,,,,,
Carter Jones,QB,NEV,WESTKY,,14.25,1.38,187.97,,,0.88,0.19,10.22,3.6,,,,0.5,,14.3208,14.3208,14.3208,14.3208,,,,,,,,,,,,
Steve Angeli,QB,SYRACUSE,UNH,,14.23,1.238,257.0014286,34.5,23.03,1.25,0,0,6.13,,,,0.16,,13.98205714,13.98205714,13.98205714,13.98205714,,,,,,,,,,,,
Jacurri Brown,QB,RICE,HOUCHR,,13.86,0.38,110.12,,,0.2,0.26,52.61,6.78,,,,0.54,,12.5458,12.5458,12.5458,12.5458,,,,,,,,,,,,
Jayden Denegal,QB,SANDIEGOSTATE,PORST,,13.7,0.86,159.82,23.5,13.5,0.71,0.4,9.36,6.4,,,,0.44,,12.4588,12.4588,12.4588,12.4588,,,,,,,,,,,,
Jaxon Smolik,QB,TEMPLE,URI,,13.67,1.09,170.61,,,0.47,0.15,15.32,4.47,,,,0.23,,13.1464,13.1464,13.1464,13.1464,,,,,,,,,,,,
AJ Surace,QB,RUTG,MASS,,13.59,0.95,200.11,31.5,18.5,0.49,0.18,9,4.29,,,,0.3,,13.2944,13.2944,13.2944,13.2944,,,,,,,,,,,,
Jayden Mandal,QB,FRES,USC,,13.29,0.97,153.38,,,0.78,0.25,15.73,6.38,,,,0.5,,12.3082,12.3082,12.3082,12.3082,,,,,,,,,,,,
EJ Colson Jr.,QB,UTEP,OKLA,,13.27,1.18,150.18,,,0.87,0.17,13.5,4.75,,,,0.5,,12.2272,12.2272,12.2272,12.2272,,,,,,,,,,,,
Kadin Semonza,QB,TULANE,DUKE,,13,0.5066666667,144.5,,,0.88,0.14,4.97,7.74,,,,0.32,,8.263666667,8.263666667,8.263666667,8.263666667,,,,,,,,,,,,
Hank Brown,QB,IOWA,NIU,,12.77,1.11,165.34,,,0.77,0.29,12,4.14,,,,0.41,,13.2236,13.2236,13.2236,13.2236,,,,,,,,,,,,
Davis Warren,QB,STNFRD,HAWAII,0,12.38,1.09,202.01,26.52,16.67,1.11,0,0,3.9,,,,0.5,0,11.3304,11.3304,11.3304,11.3304,,,,,,,,,,,,
Dru DeShields,QB,KENT,SCAR,,13.7076,1.23,182.89,,,0.43,0.21,6.42,5.24,,,,0,,13.7076,13.7076,13.7076,13.7076,,,,,,,,,,,,
Henry Belin IV,QB,MISSOURISTATE,TEXAM,,11.98,0.05,128.8,,,0.04,0.15,25.69,0.11,,,,0.09,,8.781,8.781,8.781,8.781,,,,,,,,,,,,
Aidan Armenta,QB,ULM,MSST,,11.82,1.04,140.2,,,0.55,0.19,7.8,4.67,,,,0,,11.138,11.138,11.138,11.138,,,,,,,,,,,,
Rodney Tisdale Jr.,QB,WKU,NEVADA,,11.69,0.83,166.86,,,0.8,0.18,13.6,6.23,,,,0.5,,11.6344,11.6344,11.6344,11.6344,,,,,,,,,,,,
Cibastian Broughton,QB,AKR,RMOR,,11.58,0.64,152.2,,,0.33,0.12,14.71,5.14,,,,0.03,,10.509,10.509,10.509,10.509,,,,,,,,,,,,
Luke Moga,QB,UNM,CMU,,11.4,0.81,132.09,,,0.53,0.26,11.89,5.26,,,,0.01,,10.7426,10.7426,10.7426,10.7426,,,,,,,,,,,,
Khristian Martin,QB,FRESNOSTATE,USC,,11.39,0.05,109.76,,,0.04,0.17,31.42,0.28,,,,0.21,,8.7124,8.7124,8.7124,8.7124,,,,,,,,,,,,
Tait Reynolds,QB,CLEM,LSU,,17.23782619,1.063333333,178.5185714,,,0.61,0.41,39.9375,7.48,,,,0.08,,17.23782619,17.23782619,17.23782619,17.23782619,,,,,,,,,,,,
Jake Merklinger,QB,UCONN,LAF,,10.34,0.06,128.81,,,0.03,0.17,6.73,0.17,,,,0.27,,7.0554,7.0554,7.0554,7.0554,,,,,,,,,,,,
