Player Name,Position,Team,Slate Type,Date,Role,Salary,Draftable ID,Projected FP,Combined FP,Value,Implied FP,Passing TDs,Rushing Yards,Receiving Yards,Passing Yards,Rush+Rec Yards,Anytime TD,Passing Attempts,Fantasy Score,Headshot URL,Game Start Time,Match Title (Underdog),Game Short Title (Underdog),Venue Name (Underdog),Venue Type (Underdog),Broadcasts (Underdog),Game Start Time (DRAFTTABLE)
Katin Houser,CPT,IL,Showdown Captain Mode,9/3/2026,Showdown Captain Mode 9/3 9:00PM (UAB @ IL),16800,43999068,22.46,25.82,1.34,50.4,1.5,9.5,,239,,,26.5,,https://dkn.gs/sports/images/cfb/teams/50/7823.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/3/2026
Arch Manning,QB,TEX,Night,9/5/2026,"Night 9/5 12:00PM, 12 Games",9300,43974206,24,24.54,2.58,27.9,1.5,22.5,,248.5,,,,,https://dkn.gs/sports/images/cfb/teams/50/8240.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/5/2026
Jayden Maiava,QB,USC,Night,9/4/2026,"Night 9/4 8:00PM, 4 Games",8500,44006403,24.12,24.26,2.84,25.5,1.5,10.5,,230,,,27.5,23.45,https://dkn.gs/sports/images/cfb/teams/50/8080.png,n/a,FRES @ USC,Fresno St @ USC,Los Angeles Memorial Coliseum,outdoor,FOX,9/4/2026
Jayden Maiava,QB,USC,Night,9/4/2026,"Night 9/4 9:00PM, 2 Games",8500,44009267,24.12,24.26,2.84,25.5,1.5,10.5,,230,,,27.5,23.45,https://dkn.gs/sports/images/cfb/teams/50/8080.png,n/a,FRES @ USC,Fresno St @ USC,Los Angeles Memorial Coliseum,outdoor,FOX,9/4/2026
Noah Kim,CPT,EMU,Showdown Captain Mode,9/4/2026,Showdown Captain Mode 9/4 6:30PM (SJSU @ EMU),16200,44009171,17.73,23.91,1.09,48.6,,,,,,,,,https://dkn.gs/sports/images/cfb/teams/50/7997.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/4/2026
Katin Houser,QB,IL,Showdown Captain Mode,9/3/2026,Showdown Captain Mode 9/3 9:00PM (UAB @ IL),11200,43998988,22.46,23.8,2.01,33.6,1.5,9.5,,239,,,26.5,,https://dkn.gs/sports/images/cfb/teams/50/7823.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/3/2026
John Mateer,QB,OU,Night,9/4/2026,"Night 9/4 8:00PM, 4 Games",9000,44006401,23.14,23.68,2.57,27,1.5,24.5,,217.5,,,,,https://dkn.gs/sports/images/cfb/teams/50/7811.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/4/2026
Katin Houser,QB,IL,Thursday,9/3/2026,"Thursday 9/3 6:00PM (Thu-Thu), 4 Games",8300,43973396,22.46,22.76,2.71,24.9,1.5,9.5,,239,,,26.5,,https://dkn.gs/sports/images/cfb/teams/50/7823.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/3/2026
Katin Houser,QB,IL,Night,9/3/2026,"Night 9/3 8:00PM, 2 Games",8300,43997471,22.46,22.76,2.71,24.9,1.5,9.5,,239,,,26.5,,https://dkn.gs/sports/images/cfb/teams/50/7823.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/3/2026
Byrum Brown,QB,AUB,Night,9/5/2026,"Night 9/5 12:00PM, 12 Games",7800,43974230,22.65,22.74,2.9,23.4,1.5,51,,226,,,32.5,,https://dkn.gs/sports/images/cfb/teams/50/8183.png,n/a,BAY @ AUB,Baylor @ Auburn,Mercedes-Benz Stadium,retractable_dome,ABC,9/5/2026
Julian Sayin,QB,OSU,Night,9/5/2026,"Night 9/5 12:00PM, 12 Games",8600,43974216,21.82,22.46,2.54,25.8,3.5,,,250.5,,,,,https://dkn.gs/sports/images/cfb/teams/50/7874.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/5/2026
Gio Lopez,CPT,WAKE,Showdown Captain Mode,9/3/2026,Showdown Captain Mode 9/3 7:00PM (AKR @ WAKE),16500,43999219,18.62,22.33,1.13,49.5,1.5,19,,221,,,26.5,,https://dkn.gs/sports/images/cfb/teams/50/7686.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/3/2026
Ty Clark III,CPT,WAKE,Showdown Captain Mode,9/3/2026,Showdown Captain Mode 9/3 7:00PM (AKR @ WAKE),14100,43999222,18.87,22.15,1.34,42.3,,76.5,10.5,,92.5,,,,https://dkn.gs/sports/images/cfb/teams/50/7686.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/3/2026
Justice Haynes,CPT,GT,Showdown Captain Mode,9/3/2026,Showdown Captain Mode 9/3 8:00PM (COL @ GT),16200,43999364,17.03,22.08,1.05,48.6,,66.5,,,,,,14.55,https://dkn.gs/sports/images/cfb/teams/50/7633.png,n/a,COLO @ GT,Colorado @ GA Tech,Bobby Dodd Stadium at Hyundai Field,outdoor,ESPN,9/3/2026
Antwan Raymond,RB,RU,Thursday,9/3/2026,"Thursday 9/3 6:00PM (Thu-Thu), 4 Games",8900,43973468,21.07,21.86,2.37,26.7,,59.5,5,,101.5,,,,https://dkn.gs/sports/images/cfb/teams/50/7721.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/3/2026
Michael Hawkins Jr.,QB,WVU,Night,9/5/2026,"Night 9/5 12:00PM, 12 Games",7300,43974238,21.51,21.56,2.95,21.9,1.5,71.5,,159.5,,,,,https://dkn.gs/sports/images/cfb/teams/50/7749.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/5/2026
Ca'Lil Valentine,CPT,IL,Showdown Captain Mode,9/3/2026,Showdown Captain Mode 9/3 9:00PM (UAB @ IL),14100,43999071,18.02,21.42,1.28,42.3,,63,6.5,,89.5,,,,https://dkn.gs/sports/images/cfb/teams/50/7823.png,12/30/1899,UAB @ ILL,UAB @ Illinois,"Gies Memorial Stadium (Champaign, IL)",outdoor,BTN,9/3/2026
Carlos Hernandez,CPT,WAKE,Showdown Captain Mode,9/3/2026,Showdown Captain Mode 9/3 7:00PM (AKR @ WAKE),15600,43999220,16.51,21.36,1.06,46.8,,,53.5,,,,,13.5,https://dkn.gs/sports/images/cfb/teams/50/7686.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/3/2026
Josh Hoover,QB,IU,Night,9/5/2026,"Night 9/5 12:00PM, 12 Games",8700,43974214,20.46,21.13,2.35,26.1,1.5,12.5,,206.5,,,25.5,,https://dkn.gs/sports/images/cfb/teams/50/7828.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/5/2026
Conner Weigman,QB,UH,Night,9/5/2026,"Night 9/5 12:00PM, 12 Games",9000,43974208,19.9,20.75,2.21,27,1.5,33.5,,202.5,,,26,,https://dkn.gs/sports/images/cfb/teams/50/8224.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/5/2026
Noah Kim,QB,EMU,Showdown Captain Mode,9/4/2026,Showdown Captain Mode 9/4 6:30PM (SJSU @ EMU),10800,44009099,17.73,20.67,1.64,32.4,,,,,,,,,https://dkn.gs/sports/images/cfb/teams/50/7997.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/4/2026
Keelon Russell,QB,BAMA,Night,9/5/2026,"Night 9/5 12:00PM, 12 Games",8800,43974210,19.95,20.59,2.27,26.4,1.5,22,,212,,0.5,27.5,,https://dkn.gs/sports/images/cfb/teams/50/8166.png,n/a,ECU @ BAMA,ECU @ Alabama,Bryant-Denny Stadium,outdoor,ABC,9/5/2026
Gio Lopez,QB,WAKE,Showdown Captain Mode,9/3/2026,Showdown Captain Mode 9/3 7:00PM (AKR @ WAKE),11000,43999129,18.62,20.35,1.69,33,1.5,19,,221,,,26.5,,https://dkn.gs/sports/images/cfb/teams/50/7686.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/3/2026
Ty Clark III,RB,WAKE,Showdown Captain Mode,9/3/2026,Showdown Captain Mode 9/3 7:00PM (AKR @ WAKE),9400,43999134,18.87,20.18,2.01,28.2,,76.5,10.5,,92.5,,,,https://dkn.gs/sports/images/cfb/teams/50/7686.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/3/2026
Anthony Colandrea,QB,NEB,Night,9/5/2026,"Night 9/5 12:00PM, 12 Games",8300,43974220,19.39,20.05,2.34,24.9,1.5,27,,212,,,26,,https://dkn.gs/sports/images/cfb/teams/50/7805.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/5/2026
Justice Haynes,RB,GT,Showdown Captain Mode,9/3/2026,Showdown Captain Mode 9/3 8:00PM (COL @ GT),10800,43999290,17.03,19.49,1.58,32.4,,66.5,,,,,,14.55,https://dkn.gs/sports/images/cfb/teams/50/7633.png,n/a,COLO @ GT,Colorado @ GA Tech,Bobby Dodd Stadium at Hyundai Field,outdoor,ESPN,9/3/2026
Ca'Lil Valentine,RB,IL,Showdown Captain Mode,9/3/2026,Showdown Captain Mode 9/3 9:00PM (UAB @ IL),9400,43998991,18.02,19.45,1.92,28.2,,63,6.5,,89.5,,,,https://dkn.gs/sports/images/cfb/teams/50/7823.png,12/30/1899,UAB @ ILL,UAB @ Illinois,"Gies Memorial Stadium (Champaign, IL)",outdoor,BTN,9/3/2026
Alberto Mendoza,CPT,GT,Showdown Captain Mode,9/3/2026,Showdown Captain Mode 9/3 8:00PM (COL @ GT),15300,43999365,16.4,19.35,1.07,45.9,1.5,14.5,,177,,,26,19.45,https://dkn.gs/sports/images/cfb/teams/50/7633.png,n/a,COLO @ GT,Colorado @ GA Tech,Bobby Dodd Stadium at Hyundai Field,outdoor,ESPN,9/3/2026
Gio Lopez,QB,WAKE,Thursday,9/3/2026,"Thursday 9/3 6:00PM (Thu-Thu), 4 Games",7500,43973402,18.62,19.09,2.48,22.5,1.5,19,,221,,,26.5,,https://dkn.gs/sports/images/cfb/teams/50/7686.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/3/2026
Alessio Milivojevic,CPT,MSU,Showdown Captain Mode,9/4/2026,Showdown Captain Mode 9/4 8:00PM (TOL @ MSU),16200,44009746,14.99,19.02,0.93,48.6,1.5,,,211.5,,,29.5,16.65,https://dkn.gs/sports/images/cfb/teams/50/7850.png,n/a,TOL @ MSU,Toledo @ Michigan St,Spartan Stadium,outdoor,Fox Sports 1,9/4/2026
Ty Clark III,RB,WAKE,Thursday,9/3/2026,"Thursday 9/3 6:00PM (Thu-Thu), 4 Games",6400,43973474,18.87,18.92,2.95,19.2,,76.5,10.5,,92.5,,,,https://dkn.gs/sports/images/cfb/teams/50/7686.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/3/2026
Carlos Hernandez,WR,WAKE,Showdown Captain Mode,9/3/2026,Showdown Captain Mode 9/3 7:00PM (AKR @ WAKE),10400,43999131,16.51,18.86,1.59,31.2,,,53.5,,,,,13.5,https://dkn.gs/sports/images/cfb/teams/50/7686.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/3/2026
Dante Moore,QB,ORE,Night,9/5/2026,"Night 9/5 12:00PM, 12 Games",8200,43974222,17.69,18.52,2.16,24.6,1.5,8,,223,,,26.5,,https://dkn.gs/sports/images/cfb/teams/50/8057.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/5/2026
Hudson Clement,CPT,IL,Showdown Captain Mode,9/3/2026,Showdown Captain Mode 9/3 9:00PM (UAB @ IL),10500,43999076,15.77,18.29,1.5,31.5,,,51.5,,,,,12.5,https://dkn.gs/sports/images/cfb/teams/50/7823.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/3/2026
Collin Dixon,CPT,IL,Showdown Captain Mode,9/3/2026,Showdown Captain Mode 9/3 9:00PM (UAB @ IL),11400,43999075,15.2,18.24,1.33,34.2,,,51.5,,,,,12.5,https://dkn.gs/sports/images/cfb/teams/50/7823.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/3/2026
Justice Haynes,RB,GT,Thursday,9/3/2026,"Thursday 9/3 6:00PM (Thu-Thu), 4 Games",8100,43973471,17.03,18.19,2.1,24.3,,66.5,,,,,,14.55,https://dkn.gs/sports/images/cfb/teams/50/7633.png,n/a,COLO @ GT,Colorado @ GA Tech,Bobby Dodd Stadium at Hyundai Field,outdoor,ESPN,9/3/2026
Justice Haynes,RB,GT,Night,9/3/2026,"Night 9/3 8:00PM, 2 Games",8100,43997536,17.03,18.19,2.1,24.3,,66.5,,,,,,14.55,https://dkn.gs/sports/images/cfb/teams/50/7633.png,n/a,COLO @ GT,Colorado @ GA Tech,Bobby Dodd Stadium at Hyundai Field,outdoor,ESPN,9/3/2026
Ca'Lil Valentine,RB,IL,Thursday,9/3/2026,"Thursday 9/3 6:00PM (Thu-Thu), 4 Games",6300,43973477,18.02,18.15,2.86,18.9,,63,6.5,,89.5,,,,https://dkn.gs/sports/images/cfb/teams/50/7823.png,12/30/1899,UAB @ ILL,UAB @ Illinois,"Gies Memorial Stadium (Champaign, IL)",outdoor,BTN,9/3/2026
Ca'Lil Valentine,RB,IL,Night,9/3/2026,"Night 9/3 8:00PM, 2 Games",6300,43997628,18.02,18.15,2.86,18.9,,63,6.5,,89.5,,,,https://dkn.gs/sports/images/cfb/teams/50/7823.png,12/30/1899,UAB @ ILL,UAB @ Illinois,"Gies Memorial Stadium (Champaign, IL)",outdoor,BTN,9/3/2026
Alberto Mendoza,QB,GT,Showdown Captain Mode,9/3/2026,Showdown Captain Mode 9/3 8:00PM (COL @ GT),10200,43999291,16.4,17.82,1.61,30.6,1.5,14.5,,177,,,26,19.45,https://dkn.gs/sports/images/cfb/teams/50/7633.png,n/a,COLO @ GT,Colorado @ GA Tech,Bobby Dodd Stadium at Hyundai Field,outdoor,ESPN,9/3/2026
JC French IV,QB,CINCY,Night,9/5/2026,"Night 9/5 12:00PM, 12 Games",6600,43974250,17.26,17.56,2.61,19.8,1.5,14.5,,211.5,,,27.5,,https://dkn.gs/sports/images/cfb/teams/50/8364.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/5/2026
Micah Ford,CPT,STAN,Showdown Captain Mode,9/4/2026,Showdown Captain Mode 9/4 9:00PM (MIA @ STAN),12300,44009899,13.17,17.44,1.07,36.9,,39.5,,,,,,,https://dkn.gs/sports/images/cfb/teams/50/8084.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/4/2026
Rocco Becht,QB,PSU,Night,9/5/2026,"Night 9/5 12:00PM, 12 Games",7500,43974236,16.71,17.41,2.23,22.5,1.5,12.5,,199,,,23.5,,https://dkn.gs/sports/images/cfb/teams/50/7880.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/5/2026
King Miller,RB,USC,Night,9/4/2026,"Night 9/4 8:00PM, 4 Games",7300,44006488,16.61,17.24,2.28,21.9,,62,6.5,,85.5,,,14.75,https://dkn.gs/sports/images/cfb/teams/50/8080.png,n/a,FRES @ USC,Fresno St @ USC,Los Angeles Memorial Coliseum,outdoor,FOX,9/4/2026
King Miller,RB,USC,Night,9/4/2026,"Night 9/4 9:00PM, 2 Games",7300,44009431,16.61,17.24,2.28,21.9,,62,6.5,,85.5,,,14.75,https://dkn.gs/sports/images/cfb/teams/50/8080.png,n/a,FRES @ USC,Fresno St @ USC,Los Angeles Memorial Coliseum,outdoor,FOX,9/4/2026
Carlos Hernandez,WR,WAKE,Thursday,9/3/2026,"Thursday 9/3 6:00PM (Thu-Thu), 4 Games",6900,43973666,16.51,17.18,2.39,20.7,,,53.5,,,,,13.5,https://dkn.gs/sports/images/cfb/teams/50/7686.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/3/2026
Julian Lewis,CPT,COL,Showdown Captain Mode,9/3/2026,Showdown Captain Mode 9/3 8:00PM (COL @ GT),14400,43999366,13.62,17.17,0.95,43.2,0.5,,,184,,,31,16.05,https://dkn.gs/sports/images/cfb/teams/50/7762.png,n/a,COLO @ GT,Colorado @ GA Tech,Bobby Dodd Stadium at Hyundai Field,outdoor,ESPN,9/3/2026
Alessio Milivojevic,QB,MSU,Showdown Captain Mode,9/4/2026,Showdown Captain Mode 9/4 8:00PM (TOL @ MSU),10800,44009675,14.99,17.08,1.39,32.4,1.5,,,211.5,,,29.5,16.65,https://dkn.gs/sports/images/cfb/teams/50/7850.png,n/a,TOL @ MSU,Toledo @ Michigan St,Spartan Stadium,outdoor,Fox Sports 1,9/4/2026
Danny Scudero,CPT,COL,Showdown Captain Mode,9/3/2026,Showdown Captain Mode 9/3 8:00PM (COL @ GT),12600,43999368,13.09,17.04,1.04,37.8,,,29.5,,,,,10.025,https://dkn.gs/sports/images/cfb/teams/50/7762.png,12/30/1899,COLO @ GT,Colorado @ GA Tech,Bobby Dodd Stadium at Hyundai Field,outdoor,ESPN,9/3/2026
Alberto Mendoza,QB,GT,Thursday,9/3/2026,"Thursday 9/3 6:00PM (Thu-Thu), 4 Games",7200,43973404,16.4,16.92,2.28,21.6,1.5,14.5,,177,,,26,19.45,https://dkn.gs/sports/images/cfb/teams/50/7633.png,n/a,COLO @ GT,Colorado @ GA Tech,Bobby Dodd Stadium at Hyundai Field,outdoor,ESPN,9/3/2026
Alberto Mendoza,QB,GT,Night,9/3/2026,"Night 9/3 8:00PM, 2 Games",7200,43997645,16.4,16.92,2.28,21.6,1.5,14.5,,177,,,26,19.45,https://dkn.gs/sports/images/cfb/teams/50/7633.png,n/a,COLO @ GT,Colorado @ GA Tech,Bobby Dodd Stadium at Hyundai Field,outdoor,ESPN,9/3/2026
KJ Duff,WR,RU,Thursday,9/3/2026,"Thursday 9/3 6:00PM (Thu-Thu), 4 Games",8000,43973663,15.41,16.78,1.93,24,,,73,,,,,17.5,https://dkn.gs/sports/images/cfb/teams/50/7721.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/3/2026
Hudson Clement,WR,IL,Showdown Captain Mode,9/3/2026,Showdown Captain Mode 9/3 9:00PM (UAB @ IL),7000,43998996,15.77,16.61,2.25,21,,,51.5,,,,,12.5,https://dkn.gs/sports/images/cfb/teams/50/7823.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/3/2026
DJ Lagway,QB,BAY,Night,9/5/2026,"Night 9/5 12:00PM, 12 Games",6500,43974252,16.08,16.56,2.47,19.5,0.5,8,,229.5,,,,,https://dkn.gs/sports/images/cfb/teams/50/8210.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/5/2026
Collin Dixon,WR,IL,Showdown Captain Mode,9/3/2026,Showdown Captain Mode 9/3 9:00PM (UAB @ IL),7600,43998995,15.2,16.42,2,22.8,,,51.5,,,,,12.5,https://dkn.gs/sports/images/cfb/teams/50/7823.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/3/2026
Dylan Lonergan,QB,RU,Thursday,9/3/2026,"Thursday 9/3 6:00PM (Thu-Thu), 4 Games",7700,43973398,15.28,16.37,1.98,23.1,1.5,,,204,,,24.5,,https://dkn.gs/sports/images/cfb/teams/50/7721.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/3/2026
Nick Devereaux,CPT,EMU,Showdown Captain Mode,9/4/2026,Showdown Captain Mode 9/4 6:30PM (SJSU @ EMU),13200,44009174,10.33,16.18,0.78,39.6,,,,,,,,,https://dkn.gs/sports/images/cfb/teams/50/7997.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/4/2026
Luke Weaver,CPT,SJSU,Showdown Captain Mode,9/4/2026,Showdown Captain Mode 9/4 6:30PM (SJSU @ EMU),15300,44009172,8.67,16.11,0.57,45.9,,,,,,,,,https://dkn.gs/sports/images/cfb/teams/50/7962.png,,,,,,,9/4/2026
Alessio Milivojevic,QB,MSU,Night,9/4/2026,"Night 9/4 8:00PM, 4 Games",7300,44006413,14.99,15.82,2.05,21.9,1.5,,,211.5,,,29.5,16.65,https://dkn.gs/sports/images/cfb/teams/50/7850.png,n/a,TOL @ MSU,Toledo @ Michigan St,Spartan Stadium,outdoor,Fox Sports 1,9/4/2026
Hudson Clement,WR,IL,Thursday,9/3/2026,"Thursday 9/3 6:00PM (Thu-Thu), 4 Games",4800,43973681,15.77,15.55,3.29,14.4,,,51.5,,,,,12.5,https://dkn.gs/sports/images/cfb/teams/50/7823.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/3/2026
Hudson Clement,WR,IL,Night,9/3/2026,"Night 9/3 8:00PM, 2 Games",4800,43997527,15.77,15.55,3.29,14.4,,,51.5,,,,,12.5,https://dkn.gs/sports/images/cfb/teams/50/7823.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/3/2026
Julian Lewis,QB,COL,Showdown Captain Mode,9/3/2026,Showdown Captain Mode 9/3 8:00PM (COL @ GT),9600,43999292,13.62,15.44,1.42,28.8,0.5,,,184,,,31,16.05,https://dkn.gs/sports/images/cfb/teams/50/7762.png,n/a,COLO @ GT,Colorado @ GA Tech,Bobby Dodd Stadium at Hyundai Field,outdoor,ESPN,9/3/2026
Collin Dixon,WR,IL,Thursday,9/3/2026,"Thursday 9/3 6:00PM (Thu-Thu), 4 Games",5200,43973675,15.2,15.27,2.92,15.6,,,51.5,,,,,12.5,https://dkn.gs/sports/images/cfb/teams/50/7823.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/3/2026
Collin Dixon,WR,IL,Night,9/3/2026,"Night 9/3 8:00PM, 2 Games",5200,43997580,15.2,15.27,2.92,15.6,,,51.5,,,,,12.5,https://dkn.gs/sports/images/cfb/teams/50/7823.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/3/2026
Micah Ford,RB,STAN,Showdown Captain Mode,9/4/2026,Showdown Captain Mode 9/4 9:00PM (MIA @ STAN),8200,44009822,13.17,15.23,1.61,24.6,,39.5,,,,,,,https://dkn.gs/sports/images/cfb/teams/50/8084.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/4/2026
Danny Scudero,WR,COL,Showdown Captain Mode,9/3/2026,Showdown Captain Mode 9/3 8:00PM (COL @ GT),8400,43999294,13.09,15.02,1.56,25.2,,,29.5,,,,,10.025,https://dkn.gs/sports/images/cfb/teams/50/7762.png,12/30/1899,COLO @ GT,Colorado @ GA Tech,Bobby Dodd Stadium at Hyundai Field,outdoor,ESPN,9/3/2026
DeAndre Moore Jr.,CPT,COL,Showdown Captain Mode,9/3/2026,Showdown Captain Mode 9/3 8:00PM (COL @ GT),8100,43999380,12.72,14.57,1.57,24.3,,,46.5,,,,,8.25,https://dkn.gs/sports/images/cfb/teams/50/7762.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/3/2026
Julian Lewis,QB,COL,Thursday,9/3/2026,"Thursday 9/3 6:00PM (Thu-Thu), 4 Games",6700,43973410,13.62,14.4,2.03,20.1,0.5,,,184,,,31,16.05,https://dkn.gs/sports/images/cfb/teams/50/7762.png,n/a,COLO @ GT,Colorado @ GA Tech,Bobby Dodd Stadium at Hyundai Field,outdoor,ESPN,9/3/2026
Julian Lewis,QB,COL,Night,9/3/2026,"Night 9/3 8:00PM, 2 Games",6700,43997693,13.62,14.4,2.03,20.1,0.5,,,184,,,31,16.05,https://dkn.gs/sports/images/cfb/teams/50/7762.png,n/a,COLO @ GT,Colorado @ GA Tech,Bobby Dodd Stadium at Hyundai Field,outdoor,ESPN,9/3/2026
Micah Ford,RB,STAN,Night,9/4/2026,"Night 9/4 8:00PM, 4 Games",6000,44006506,13.17,14.04,2.2,18,,39.5,,,,,,,https://dkn.gs/sports/images/cfb/teams/50/8084.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/4/2026
Micah Ford,RB,STAN,Night,9/4/2026,"Night 9/4 9:00PM, 2 Games",6000,44009377,13.17,14.04,2.2,18,,39.5,,,,,,,https://dkn.gs/sports/images/cfb/teams/50/8084.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/4/2026
Waymond Jordan,RB,USC,Night,9/4/2026,"Night 9/4 8:00PM, 4 Games",7000,44006491,12.99,13.95,1.86,21,,44,6.5,,69.5,,,11.25,https://dkn.gs/sports/images/cfb/teams/50/8080.png,n/a,FRES @ USC,Fresno St @ USC,Los Angeles Memorial Coliseum,outdoor,FOX,9/4/2026
Waymond Jordan,RB,USC,Night,9/4/2026,"Night 9/4 9:00PM, 2 Games",7000,44009469,12.99,13.95,1.86,21,,44,6.5,,69.5,,,11.25,https://dkn.gs/sports/images/cfb/teams/50/8080.png,n/a,FRES @ USC,Fresno St @ USC,Los Angeles Memorial Coliseum,outdoor,FOX,9/4/2026
Danny Scudero,WR,COL,Thursday,9/3/2026,"Thursday 9/3 6:00PM (Thu-Thu), 4 Games",6000,43973669,13.09,13.87,2.18,18,,,29.5,,,,,10.025,https://dkn.gs/sports/images/cfb/teams/50/7762.png,12/30/1899,COLO @ GT,Colorado @ GA Tech,Bobby Dodd Stadium at Hyundai Field,outdoor,ESPN,9/3/2026
Danny Scudero,WR,COL,Night,9/3/2026,"Night 9/3 8:00PM, 2 Games",6000,43997565,13.09,13.87,2.18,18,,,29.5,,,,,10.025,https://dkn.gs/sports/images/cfb/teams/50/7762.png,12/30/1899,COLO @ GT,Colorado @ GA Tech,Bobby Dodd Stadium at Hyundai Field,outdoor,ESPN,9/3/2026
Joseph Williams,CPT,COL,Showdown Captain Mode,9/3/2026,Showdown Captain Mode 9/3 8:00PM (COL @ GT),11700,43999370,9.68,13.75,0.83,35.1,,,28.5,,,,,9,https://dkn.gs/sports/images/cfb/teams/50/7762.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/3/2026
Nick Devereaux,WR,EMU,Showdown Captain Mode,9/4/2026,Showdown Captain Mode 9/4 6:30PM (SJSU @ EMU),8800,44009102,10.33,13.54,1.17,26.4,,,,,,,,,https://dkn.gs/sports/images/cfb/teams/50/7997.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/4/2026
DeAndre Moore Jr.,WR,COL,Showdown Captain Mode,9/3/2026,Showdown Captain Mode 9/3 8:00PM (COL @ GT),5400,43999306,12.72,13.27,2.35,16.2,,,46.5,,,,,8.25,https://dkn.gs/sports/images/cfb/teams/50/7762.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/3/2026
Terrell Anderson,WR,USC,Night,9/4/2026,"Night 9/4 8:00PM, 4 Games",4400,44006707,13.24,13.23,3.01,13.2,,,46.5,,,,,,https://dkn.gs/sports/images/cfb/teams/50/8080.png,12/30/1899,FRES @ USC,Fresno St @ USC,Los Angeles Memorial Coliseum,outdoor,FOX,9/4/2026
Terrell Anderson,WR,USC,Night,9/4/2026,"Night 9/4 9:00PM, 2 Games",4400,44009360,13.24,13.23,3.01,13.2,,,46.5,,,,,,https://dkn.gs/sports/images/cfb/teams/50/8080.png,12/30/1899,FRES @ USC,Fresno St @ USC,Los Angeles Memorial Coliseum,outdoor,FOX,9/4/2026
Jabari Bates,CPT,SJSU,Showdown Captain Mode,9/4/2026,Showdown Captain Mode 9/4 6:30PM (SJSU @ EMU),12000,44009177,7.42,13.14,0.62,36,,,,,,,,,https://dkn.gs/sports/images/cfb/teams/50/7962.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/4/2026
Luke Weaver,QB,SJSU,Showdown Captain Mode,9/4/2026,Showdown Captain Mode 9/4 6:30PM (SJSU @ EMU),10200,44009100,8.67,13.05,0.85,30.6,,,,,,,,,https://dkn.gs/sports/images/cfb/teams/50/7962.png,,,,,,,9/4/2026
Trent Mosley,WR,USC,Night,9/4/2026,"Night 9/4 8:00PM, 4 Games",5900,44006680,12.02,13.04,2.04,17.7,,,44.5,,,,,,https://dkn.gs/sports/images/cfb/teams/50/8080.png,12/30/1899,FRES @ USC,Fresno St @ USC,Los Angeles Memorial Coliseum,outdoor,FOX,9/4/2026
