Player Name,Position,Team,Slate Type,Date,Role,Salary,Draftable ID,Projected FP,Combined FP,Value,Implied FP,Passing TDs,Rushing Yards,Receiving Yards,Passing Yards,Rush+Rec Yards,Anytime TD,Passing Attempts,Fantasy Score,Headshot URL,Game Start Time,Match Title (Underdog),Game Short Title (Underdog),Venue Name (Underdog),Venue Type (Underdog),Broadcasts (Underdog),Game Start Time (DRAFTTABLE)
Charles Taplin,WR,MSU,Night,9/4/2026,"Night 9/4 8:00PM, 4 Games",3300,44006779,0,1.98,0,9.9,,,,,,,,,https://dkn.gs/sports/images/cfb/teams/50/7850.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/4/2026
Anthony Simpson,WR,TOL,Night,9/4/2026,"Night 9/4 8:00PM, 4 Games",3300,44006782,0,1.98,0,9.9,,,,,,,,,https://dkn.gs/sports/images/cfb/teams/50/8022.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/4/2026
Jahlil McClain,WR,FRES,Night,9/4/2026,"Night 9/4 8:00PM, 4 Games",3300,44006788,0,1.98,0,9.9,,,,,,,,,https://dkn.gs/sports/images/cfb/teams/50/8301.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/4/2026
Jaylan Brown,WR,UTEP,Night,9/4/2026,"Night 9/4 8:00PM, 4 Games",3300,44006791,0,1.98,0,9.9,,,,,,,,,https://dkn.gs/sports/images/cfb/teams/50/8350.png,,,,,,,9/4/2026
CJ Smith,WR,UAB,Night,9/3/2026,"Night 9/3 8:00PM, 2 Games",3300,43997479,0,1.98,0,9.9,,,,,,,,,https://dkn.gs/sports/images/cfb/teams/50/9227.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/3/2026
Zach Atkins,WR,COL,Night,9/3/2026,"Night 9/3 8:00PM, 2 Games",3300,43997733,0,1.98,0,9.9,,,12.5,,,,,,https://dkn.gs/sports/images/cfb/teams/50/7762.png,12/30/1899,COLO @ GT,Colorado @ GA Tech,Bobby Dodd Stadium at Hyundai Field,outdoor,ESPN,9/3/2026
Dalen Penson,WR,GT,Night,9/3/2026,"Night 9/3 8:00PM, 2 Games",3300,43997762,0,1.98,0,9.9,,,19.5,,,,,,https://dkn.gs/sports/images/cfb/teams/50/7633.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/3/2026
CJ Smith,CPT,UAB,Showdown Captain Mode,9/3/2026,Showdown Captain Mode 9/3 9:00PM (UAB @ IL),3300,43999093,0,1.98,0,9.9,,,,,,,,,https://dkn.gs/sports/images/cfb/teams/50/9227.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/3/2026
Jordan Onovughe,CPT,STAN,Showdown Captain Mode,9/4/2026,Showdown Captain Mode 9/4 9:00PM (MIA @ STAN),3300,44009927,0,1.98,0,9.9,,,,,,,,,https://dkn.gs/sports/images/cfb/teams/50/8084.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/4/2026
Jahlil McClain,WR,FRES,Night,9/4/2026,"Night 9/4 9:00PM, 2 Games",3300,44009297,0,1.98,0,9.9,,,,,,,,,https://dkn.gs/sports/images/cfb/teams/50/8301.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/4/2026
Dominique McKenzie,CPT,SJSU,Showdown Captain Mode,9/4/2026,Showdown Captain Mode 9/4 6:30PM (SJSU @ EMU),3300,44009205,0,1.98,0,9.9,,,,,,,,,https://dkn.gs/sports/images/cfb/teams/50/7962.png,,,,,,,9/4/2026
Evan Haynes,WR,GT,Showdown Captain Mode,9/3/2026,Showdown Captain Mode 9/3 8:00PM (COL @ GT),3200,43999315,0,1.92,0,9.6,,,,,,,,,https://dkn.gs/sports/images/cfb/teams/50/7633.png,,,,,,,9/3/2026
Brennan Parachek,WR,MSU,Showdown Captain Mode,9/4/2026,Showdown Captain Mode 9/4 8:00PM (TOL @ MSU),3200,44009702,0,1.92,0,9.6,,,,,,,,,https://dkn.gs/sports/images/cfb/teams/50/7850.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/4/2026
Vernon Allen III,WR,RU,Thursday,9/3/2026,"Thursday 9/3 6:00PM (Thu-Thu), 4 Games",3200,43973765,0,1.92,0,9.6,,,,,,,,,https://dkn.gs/sports/images/cfb/teams/50/7721.png,,,,,,,9/3/2026
Kaden Feagin,WR,IL,Thursday,9/3/2026,"Thursday 9/3 6:00PM (Thu-Thu), 4 Games",3200,43973768,0,1.92,0,9.6,,,,,,,,,https://dkn.gs/sports/images/cfb/teams/50/7823.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/3/2026
Cameron Monteiro,WR,AKR,Thursday,9/3/2026,"Thursday 9/3 6:00PM (Thu-Thu), 4 Games",3200,43973771,0,1.92,0,9.6,,,,,,,,,https://dkn.gs/sports/images/cfb/teams/50/7976.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/3/2026
Reece Adkins,WR,UMASS,Thursday,9/3/2026,"Thursday 9/3 6:00PM (Thu-Thu), 4 Games",3200,43973774,0,1.92,0,9.6,,,,,,,,,https://dkn.gs/sports/images/cfb/teams/50/9202.png,,,,,,,9/3/2026
Antonio Ferguson,WR,UAB,Thursday,9/3/2026,"Thursday 9/3 6:00PM (Thu-Thu), 4 Games",3200,43973777,0,1.92,0,9.6,,,14.5,,,,,,https://dkn.gs/sports/images/cfb/teams/50/9227.png,12/30/1899,UAB @ ILL,UAB @ Illinois,"Gies Memorial Stadium (Champaign, IL)",outdoor,BTN,9/3/2026
Jaivon Solomon,WR,DUKE,Night,9/5/2026,"Night 9/5 12:00PM, 12 Games",3200,43975281,0,1.92,0,9.6,,,,,,,,,https://dkn.gs/sports/images/cfb/teams/50/7621.png,,,,,,,9/5/2026
Johnathan Montague Jr.,WR,BC,Night,9/5/2026,"Night 9/5 12:00PM, 12 Games",3200,43975284,0,1.92,0,9.6,,,,,,,,,https://dkn.gs/sports/images/cfb/teams/50/7692.png,,,,,,,9/5/2026
Mason Williams,WR,OSU,Night,9/5/2026,"Night 9/5 12:00PM, 12 Games",3200,43975287,0,1.92,0,9.6,,,,,,,,,https://dkn.gs/sports/images/cfb/teams/50/7874.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/5/2026
Andrew Rappleyea,WR,PSU,Night,9/5/2026,"Night 9/5 12:00PM, 12 Games",3200,43975290,0,1.92,0,9.6,,,,,,,,,https://dkn.gs/sports/images/cfb/teams/50/7880.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/5/2026
Leo Collins,WR,BALL,Night,9/5/2026,"Night 9/5 12:00PM, 12 Games",3200,43975293,0,1.92,0,9.6,,,,,,,,,https://dkn.gs/sports/images/cfb/teams/50/7980.png,,,,,,,9/5/2026
CJ Nelson,WR,BALL,Night,9/5/2026,"Night 9/5 12:00PM, 12 Games",3200,43975296,0,1.92,0,9.6,,,,,,,,,https://dkn.gs/sports/images/cfb/teams/50/7980.png,,,,,,,9/5/2026
Jake Furtney,WR,OHIO,Night,9/5/2026,"Night 9/5 12:00PM, 12 Games",3200,43975299,0,1.92,0,9.6,,,,,,,,,https://dkn.gs/sports/images/cfb/teams/50/8018.png,,,,,,,9/5/2026
DeShawn Spencer,WR,AUB,Night,9/5/2026,"Night 9/5 12:00PM, 12 Games",3200,43975302,0,1.92,0,9.6,,,,,,,,,https://dkn.gs/sports/images/cfb/teams/50/8183.png,,,,,,,9/5/2026
